,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity,n_inliers,inlier_ratio,average_residuals
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,3,20,True,10.745288333659678,97,1.0,2.5726725383456652
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,4,20,True,10.18224635020536,96,1.0,3.1097911313749074
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,5,20,True,10.638789524040115,95,1.0,2.3961375355177266
