,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,5,20,True,10.70112691016606
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,200,euclidean,1000,5,20,True,16.131634224861568
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,500,euclidean,1000,5,20,True,26.75734654224071
