,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity
0,images/leftImage.png,images/rightImage.png,5,0.05,sift,5,500,euclidean,1000,5,20,True,26.595580229868716
0,images/leftim.png,images/rightim.png,5,0.05,sift,5,500,euclidean,1000,5,20,True,1.1233424739885033e-11
0,images/im1.jpg,images/im2.jpg,5,0.05,sift,5,500,euclidean,1000,5,20,True,163.3920259099311
