,left_image_path,right_image_path,harris_neighbourhood_size,harris_keypoint_threshold,descriptor,patch_size,n_matches,matching_method,RANSAC_iterations,RANSAC_init_points,RANSAC_inlier_threshold,wandb,Sensitivity,n_inliers,inlier_ratio,average_residuals
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,5,10.0,True,10.565250267458376,95,1.0,1.6418746585944588
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,5,20.0,True,10.637548377012076,95,1.0,3.2630655705443163
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,5,50.0,True,10.636969075915163,95,1.0,1.5196932812575823
0,images/leftImage.png,images/rightImage.png,5,0.05,smooth_pixel_neighbourhood,5,100,euclidean,1000,5,100.0,True,10.676966786962902,95,1.0,0.8024670779240509
